Similarity;ChEMBL ID;Smiles
40,57970941;CHEMBL3185989;Cc1c(NC(=O)C(C)OC(=O)c2nc(Cl)ccc2Cl)c(=O)n(-c2ccccc2)n1C
41,17647111;CHEMBL1481168;Cc1c(NC(=O)NC(C)N2C(=O)C3C4C=CC(C4)C3C2=O)c(=O)n(-c2ccccc2)n1C
42,62295067;CHEMBL1351785;Cc1c(NC(=O)c2ccc(Cl)s2)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL1421137;Cc1cc(C)c(NC(=O)Nc2ccccc2)c(Cl)c1
41,93548262;CHEMBL2006135;COc1ccc(NC(=S)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
46,15384638;CHEMBL2271529;C[C@@H](NC(=O)Nc1ccc(Cl)cc1)c1ccccc1
40,98360538;CHEMBL1410087;Cc1c(NC(=S)NC(=O)C(C)(C)C)c(=O)n(-c2ccccc2)n1C
46,77419364;CHEMBL3212511;Cc1c(NC(=O)/C(O)=C/C(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
46,03174627;CHEMBL1505236;Cc1c(NC(=O)Nc2cccc([N+](=O)[O-])c2)c(=O)n(-c2ccccc2)n1C
50,8771956;CHEMBL1416915;Cc1cccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1
40,0000006;CHEMBL1536642;Cc1c(NC(C)c2ccccc2O)c(=O)n(-c2ccccc2)n1C
58,18181634;CHEMBL1301202;Cc1c(NC(=O)Nc2ccc(Cl)c(Cl)c2)c(=O)n(-c2ccccc2)n1C
44,61538494;CHEMBL1521878;CCOC(=O)c1cccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1
40,625;CHEMBL1976162;Cc1c(NC(=S)Nc2ccc([N+](=O)[O-])cc2)c(=O)n(-c2ccccc2)n1C
47,54098356;CHEMBL4943858;Cc1c(NC(=O)c2ccccc2C(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
40,7407403;CHEMBL1331865;CSc1ccccc1NC(=O)Nc1ccc(Cl)cc1
41,50943458;CHEMBL89843;CC(C)c1ccc(NC(=O)Nc2c(C(C)C)cccc2C(C)C)cc1
42,64705777;CHEMBL1539613;Cc1c(NC(=O)COC(=O)CCC(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL1452594;Cc1c(NC(=O)C(C)OC(=O)Cc2ccccc2)c(=O)n(-c2ccccc2)n1C
44,82758641;CHEMBL3437899;Cc1c(NC(=O)C(C)N(C)C)c(=O)n(-c2ccccc2)n1C
55,3571403;CHEMBL378679;CCc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
43,33333373;CHEMBL3109732;CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2ccccc2)c1
49,15254116;CHEMBL2360860;CC(=O)c1cccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1
41,93548262;CHEMBL1483089;Cc1c(NC(=O)NC(=O)c2ccc(F)cc2)c(=O)n(-c2ccccc2)n1C
50;CHEMBL1735760;Cc1c(NC(=O)Nc2cccc(Cl)c2Cl)c(=O)n(-c2ccccc2)n1C
40,32258093;CHEMBL1538147;CC(=O)NC(Nc1c(C)n(C)n(-c2ccccc2)c1=O)C(Cl)(Cl)Cl
74,00000095;CHEMBL377169;CC(C)c1c(NC(=O)Nc2ccccc2Cl)c(=O)n(-c2ccccc2)n1C
43,18181872;CHEMBL3527390;O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1
46,15384638;CHEMBL1311044;CC(NC(=O)Nc1ccc(Cl)cc1)c1ccccc1
41,26984179;CHEMBL1577338;Cc1c(NC(=S)NC(=O)CC(C)C)c(=O)n(-c2ccccc2)n1C
41,17647111;CHEMBL28318;Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
45,3125;CHEMBL1967774;Cc1c(/C=N/NC(=S)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
40,35087824;CHEMBL4462132;O=C(Nc1ccc(Cl)cc1)Nc1cccc(N2CCC2)c1
41,79104567;CHEMBL1866699;Cc1c(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)oc2ccc(Cl)cc12
45,16128898;CHEMBL4943056;Cc1c(N[C@@H](C)c2cc(Cl)ccc2O)c(=O)n(-c2ccccc2)n1C
41,17647111;CHEMBL1940146;Cc1c(NCc2nnc(Nc3ccc(Cl)cc3)o2)c(=O)n(-c2ccccc2)n1C
56,66666627;CHEMBL211555;CC(C)c1c(NC(=O)Nc2ccc(C(F)(F)F)cc2)c(=O)n(-c2cncnc2)n1C
43,54838729;CHEMBL1400573;Cc1c(NC(=O)Nc2ccc(F)cc2F)c(=O)n(-c2ccccc2)n1C
40,90909064;CHEMBL434915;Cc1c(NS(=O)(=O)c2ccc(NC(=O)CCC(=O)O)cc2)c(=O)n(-c2ccccc2)n1C
55,3571403;CHEMBL1713772;Cc1c(NC(=O)Nc2ccc(C(C)(C)C)cc2)c(=O)n(-c2ccccc2)n1C
40,98360538;CHEMBL1385696;Cc1c(NC(=O)CN2C(=O)c3ccccc3C2=O)c(=O)n(-c2ccccc2)n1C
43,39622557;CHEMBL157337;Cc1c(NC(C)C)c(=O)n(-c2ccccc2)n1C
40,67796469;CHEMBL1438459;CCN(CC)C(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
40,0000006;CHEMBL1327432;Cc1c(NC(=O)CN2C(=O)C(=O)N(Cc3ccccc3)C2=O)c(=O)n(-c2ccccc2)n1C
43,63636374;CHEMBL1432031;Cc1c(NC(=O)c2ccccc2)c(=O)n(-c2ccccc2)n1C
40,29850662;CHEMBL1570674;Cc1c(NC(=O)c2cc(CC(C)C)on2)c(=O)n(-c2ccccc2)n1C
46,03174627;CHEMBL4890068;Cc1c(N[C@@H](C)C(=O)Nc2ccc3ccccc3c2)c(=O)n(-c2ccccc2)n1C
45,61403394;CHEMBL1462839;Cc1c(NC(=O)CC(C)C)c(=O)n(-c2ccccc2)n1C
51,66666508;CHEMBL1329635;CCOC(=O)c1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
41,53846204;CHEMBL1439638;COc1ccc(OC)c(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1
45,61403394;CHEMBL1890147;Cc1c(NS(=O)(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
40,625;CHEMBL1970680;Cc1c(/C=N/NC(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
100;CHEMBL379761;CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL1707255;Cc1c(NC(=O)C(C)OC(=O)c2cccnc2Cl)c(=O)n(-c2ccccc2)n1C
40,32258093;CHEMBL1557331;Cc1c(NC(=O)C2CC=CCC2C(=O)O)c(=O)n(-c2ccccc2)n1C
